Date,AAPL,F,GM,GOOGL,MCD,MSFT,SBUX,TGT,TSLA,WMT,^GSPC
2020-11-20,114.33561706542967,6.708181381225586,41.71687316894531,86.30142211914062,192.08517456054688,202.2554168701172,87.30548858642578,151.86582946777344,163.20333862304688,46.71456527709961,3557.5400390625
2020-11-23,110.93496704101562,6.800283432006836,43.39369583129883,85.86305236816406,194.696044921875,201.98622131347656,87.18849182128906,156.49293518066406,173.9499969482422,46.929107666015625,3577.590087890625
2020-11-24,112.22118377685548,7.253124713897705,45.03173828125,87.66921997070312,197.12754821777344,205.5912322998047,88.4664306640625,156.75733947753906,185.1266632080078,47.06282043457031,3635.409912109375
2020-11-25,113.05916595458984,6.969139575958252,44.06248092651367,87.6806411743164,196.7955474853516,205.6008453369141,88.37643432617188,158.48477172851562,191.3333282470703,47.20894241333008,3629.64990234375
2020-11-27,113.60482025146484,6.976816177368164,43.67477416992188,88.81832122802734,195.889404296875,206.90823364257807,88.79044342041016,158.44070434570312,195.2533264160156,47.13742446899414,3638.35009765625
2020-11-30,116.0018310546875,6.969139575958252,42.492286682128906,87.19705200195312,196.2503967285156,205.79315185546875,88.2144546508789,158.2292022705078,189.1999969482422,47.50743865966797,3621.6298828125
2020-12-01,119.57786560058594,7.091944694519043,43.30646896362305,89.23284149169922,195.0770721435547,207.85040283203125,88.93443298339844,157.80615234375,194.9199981689453,47.4608039855957,3662.449951171875
2020-12-02,119.92864227294922,7.061243534088135,43.20953750610352,90.70450592041016,190.31163024902344,207.0428924560547,89.01542663574219,155.47933959960938,189.60667419433597,46.8016242980957,3669.010009765625
2020-12-03,119.79222869873048,7.068918704986572,42.73460388183594,90.54895782470705,190.8982391357422,205.95657348632807,90.09538269042967,154.16616821289062,197.7933349609375,46.42227935791016,3666.719970703125
2020-12-04,119.1199188232422,7.168697834014893,43.03506851196289,90.64437103271484,190.20330810546875,206.0718994140625,92.04830169677734,154.2631378173828,199.67999267578125,46.30102157592773,3699.1201171875
2020-12-07,120.5814971923828,7.07659387588501,42.94784164428711,90.30989074707033,188.5336151123047,206.0045928955078,91.26535034179688,152.3946533203125,213.9199981689453,46.05227279663086,3691.9599609375
2020-12-08,121.19537353515624,7.099618911743164,42.45351028442383,90.02658081054688,188.08233642578125,207.6581115722656,91.0853500366211,152.2271728515625,216.6266632080078,46.46892166137695,3702.25
2020-12-09,118.66194915771484,7.253124713897705,43.06414413452149,88.3630599975586,188.35305786132807,203.6109161376953,90.35636901855467,153.41702270507812,201.4933319091797,46.10201644897461,3672.820068359375
