Date,AAPL,ADA-USD,BND,BTC-USD,DAI-USD,GOOGL,IVV,MATIC-USD,META,MSFT,NVDA,QQQ,SOL-USD,SPY,TSLA,VTI,VUG,XPR-USD
2022-10-11,136.97547912597656,0.3905400037765503,64.297607421875,19051.41796875,0.9996899962425232,96.60065460205078,345.0611572265625,0.7905439734458923,127.8386459350586,220.30027770996094,11.572750091552734,258.1107482910156,30.77686882019043,344.2745056152344,216.5,172.66432189941406,207.4779815673828,0.0020669999066740274
2022-10-12,136.34474182128906,0.3813000023365021,64.37044525146484,19157.4453125,0.9992989897727966,96.97838592529297,343.9466857910156,0.784313976764679,126.8043441772461,220.63259887695312,11.486848831176758,258.0223083496094,31.165485382080078,343.138916015625,217.24000549316406,172.1937255859375,207.17295837402344,0.002094999887049198
2022-10-13,140.9276885986328,0.3776380121707916,64.14285278320312,19382.904296875,0.9996430277824402,98.46944427490234,353.1030578613281,0.7758209705352783,129.57913208007812,228.9301300048828,11.946321487426758,264.07354736328125,30.544519424438477,352.1947326660156,221.72000122070312,176.46737670898438,211.65037536621094,0.0020830000285059214
2022-10-14,136.3841552734375,0.36685100197792053,63.83334732055664,19185.65625,1.000115990638733,95.9843521118164,345.0130920410156,0.7927230000495911,126.0683822631836,223.37890625,11.214159965515137,256.1361999511719,30.007417678833008,344.16864013671875,204.99000549316406,172.30897521972656,205.17530822753906,0.002114000031724572
2022-10-17,140.35606384277344,0.3723450005054474,63.96986770629883,19550.7578125,0.9995589852333069,99.3740234375,353.890869140625,0.847258985042572,133.3086395263672,232.14553833007812,11.874403953552246,264.5942077636719,31.224876403808594,353.01275634765625,219.35000610351562,176.9091339111328,212.46717834472656,0.00215000007301569
2022-10-18,141.67674255371094,0.3618200123310089,64.11553192138672,19334.416015625,0.9996780157089233,100.16925048828125,357.9454345703125,0.8645099997520447,132.07542419433594,233.09356689453125,11.953313827514648,266.68658447265625,30.164331436157227,357.1604919433594,220.19000244140625,179.0699920654297,214.71078491210938,0.0021689999848604202
2022-10-19,141.78514099121094,0.3500320017337799,63.587520599365234,19139.53515625,1.0001070499420166,99.03604125976562,355.59149169921875,0.8460860252380371,132.50308227539062,231.1193389892578,12.037216186523438,265.7141418457031,28.900798797607422,354.62945556640625,222.0399932861328,177.5430145263672,213.31341552734375,0.0021410000044852495
2022-10-20,141.32186889648438,0.340254008769989,63.15966796875,19053.740234375,0.9997490048408508,99.3740234375,352.5650329589844,0.8101159930229187,130.81236267089844,230.79684448242188,12.180054664611816,264.3583984375,28.08509635925293,351.6557922363281,207.27999877929688,176.0063934326172,211.67990112304688,0.002096999902278185
2022-10-21,145.14593505859375,0.3490769863128662,63.26893997192383,19172.46875,0.9999160170555115,100.52710723876953,361.0776672363281,0.8320930004119873,129.3006591796875,236.63150024414062,12.451742172241211,270.55706787109375,28.10867691040039,360.2015686035156,214.44000244140625,180.05917358398438,216.38368225097656,0.002087000058963895
2022-10-24,147.2945098876953,0.35785698890686035,63.17789077758789,19345.572265625,0.9997429847717285,101.9088134765625,365.5166015625,0.8938770294189453,129.01223754882812,241.6452178955078,12.58459186553955,273.5335388183594,28.3100643157959,364.609130859375,211.25,181.9990997314453,218.5289306640625,0.002247000113129616
2022-10-25,150.142822265625,0.4019879996776581,63.778709411621094,20095.857421875,0.9999539852142334,103.85713195800781,371.3870544433594,0.9197390079498291,136.7597198486328,244.9779052734375,13.245835304260254,279.19189453125,30.93997573852539,370.43145751953125,222.4199981689453,185.29312133789062,223.65585327148438,0.0023189999628812075
2022-10-26,147.1959686279297,0.4034920036792755,64.03361511230469,20770.44140625,0.9997749924659729,94.36406707763672,368.5815124511719,0.9381380081176758,129.1116943359375,226.0763397216797,12.88124942779541,273.022705078125,31.28472137451172,367.64056396484375,224.63999938964844,184.1503143310547,218.88319396972656,0.0023219999857246876
2022-10-27,142.71157836914062,0.3886969983577728,64.37044525146484,20285.8359375,0.9997199773788452,91.67022705078125,366.6214294433594,0.904833972454071,97.40563201904297,221.60992431640625,13.160928726196289,268.0520324707031,30.630624771118164,365.6773681640625,225.08999633789062,183.28598022460938,215.9113311767578,0.002237000036984682
2022-10-28,153.4937744140625,0.40450701117515564,64.24300384521484,20595.3515625,1.0003060102462769,95.71595001220703,375.2205810546875,0.9448480010032654,98.65874481201172,230.52317810058594,13.818177223205566,276.2546081542969,32.111263275146484,374.3770751953125,228.52000427246094,187.55003356933594,221.54998779296875,0.002322999993339181
2022-10-31,151.12838745117188,0.4063360095024109,64.042724609375,20495.7734375,0.9998800158500671,93.94657135009766,372.5879821777344,0.9039880037307739,92.65170288085938,226.8679656982422,13.48156452178955,273.0423583984375,32.61103820800781,371.6728820800781,227.5399932861328,186.33993530273438,219.188232421875,0.002469999948516488
2022-11-01,148.47718811035156,0.40140199661254883,64.10933685302734,20485.2734375,0.9999970197677612,89.93065643310547,371.1083984375,0.8753330111503601,94.68058013916016,222.99774169921875,13.527510643005371,270.25250244140625,32.2484245300293,370.0465393066406,227.82000732421875,185.76370239257812,217.02334594726562,0.0024240000639110804
2022-11-02,142.93824768066406,0.3860760033130646,64.00897216796875,20159.50390625,1.0000109672546387,86.45152282714844,361.5964660644531,0.8717179894447327,90.04600524902344,215.11065673828125,13.203880310058594,260.9889831542969,30.788076400756836,360.7597351074219,214.97999572753906,180.87545776367188,209.1607666015625,0.002274000085890293
2022-11-03,136.87693786621094,0.3894200026988983,63.76259231567383,20209.98828125,1.0002100467681885,82.93262481689453,357.9646911621094,0.9521219730377197,88.42489624023438,209.39324951171875,13.405649185180664,255.89060974121094,30.84387969970703,357.0450744628906,215.30999755859375,179.1468048095703,205.13597106933594,0.002391000045463443
