Date,AADR,ARKW,BLCN,BLOK,FPX,PSI,QQQ,QTUM,URA,XSD
2021-12-20,57.558799743652344,115.4559097290039,40.74942398071289,36.18552017211914,114.55274963378906,46.71560287475586,372.1212158203125,51.084625244140625,19.797836303710938,224.62310791015625
2021-12-21,58.81373596191406,120.40846252441406,41.822547912597656,37.76950454711914,118.36459350585938,48.28232955932617,380.44940185546875,52.58854675292969,21.011531829833984,232.66726684570312
2021-12-22,59.356929779052734,120.51548767089844,41.82060241699219,38.17986297607422,119.41852569580078,48.706932067871094,385.0827331542969,53.176597595214844,20.77051544189453,235.2168426513672
2021-12-23,59.767723083496094,122.68527221679688,42.48441696166992,39.68177795410156,120.50199890136719,49.37181091308594,387.9858703613281,53.610416412353516,21.097612380981445,237.93443298339844
2021-12-27,60.124935150146484,122.3836441040039,42.88466262817383,40.239871978759766,122.50149536132812,51.159061431884766,394.3982238769531,54.54555130004883,21.9411678314209,244.9409942626953
2021-12-28,60.51974868774414,119.41600799560547,41.96703338623047,38.746158599853516,120.80734252929688,50.47444152832031,392.5703125,54.05388259887695,21.071786880493164,241.12644958496094
2021-12-29,60.28474426269531,118.08999633789062,41.40082931518555,37.74619674682617,120.639892578125,50.75092697143555,392.51165771484375,54.174530029296875,20.779123306274414,241.69960021972656
2021-12-30,60.24713897705078,120.91000366210938,41.80107879638672,37.764892578125,121.0535888671875,50.323036193847656,391.33868408203125,54.04905319213867,20.441463470458984,240.33584594726562
2021-12-31,60.39755630493164,118.58000183105469,41.498451232910156,37.54059982299805,120.66944122314453,50.53040313720703,388.8949890136719,53.86567306518555,20.76910972595215,240.28643798828125
2022-01-03,60.54796600341797,120.66999816894531,41.898685455322266,37.94245147705078,119.86176300048828,51.33021926879883,392.63873291015625,54.41581344604492,21.997783660888672,245.45481872558594
2022-01-04,60.529151916503906,116.1500015258789,41.74250411987305,37.81161880493164,118.35474395751953,50.694969177246094,387.5460510253906,54.20347595214844,22.38913917541504,242.6482696533203
2022-01-05,59.551513671875,108.9000015258789,40.35629653930664,35.66217041015625,113.5382080078125,48.48640060424805,375.6401672363281,52.72678756713867,22.525657653808594,228.93174743652344
2022-01-06,59.84292984008789,108.77999877929688,40.35629653930664,35.2696647644043,113.96174621582031,48.855045318603516,375.37628173828125,52.9198112487793,21.287883758544922,230.1670379638672
2022-01-07,59.84292984008789,106.76000213623047,40.29772186279297,34.91453552246094,113.03587341308594,47.07107925415039,371.30987548828125,52.12837600708008,22.0341854095459,223.29888916015625
2022-01-10,59.401100158691406,106.69999694824219,40.043907165527344,34.419227600097656,112.85858154296875,47.06448745727539,371.55419921875,51.87744140625,21.642833709716797,222.7948760986328
2022-01-11,60.24713897705078,110.13999938964844,40.951778411865234,35.531333923339844,115.42937469482422,47.81494140625,377.1357727050781,52.765384674072266,21.91587257385254,226.53038024902344
2022-01-12,60.92396545410156,108.87000274658203,41.40082931518555,36.04533386230469,115.1338882446289,48.130924224853516,378.63128662109375,52.939117431640625,22.00688362121582,227.0047149658203
2022-01-13,60.35994338989258,102.9800033569336,40.600341796875,34.8678092956543,111.24321746826172,46.83409118652344,369.1593933105469,51.97395324707031,21.114961624145508,220.294677734375
2022-01-14,60.09674072265625,102.52999877929688,40.50273132324219,35.09209442138672,111.38111877441406,48.071678161621094,371.4565124511719,52.66887283325195,20.96933937072754,223.89181518554688
2022-01-18,59.10029602050781,98.94999694824219,39.262943267822266,33.269737243652344,107.70713806152344,45.60638427734375,362.20947265625,51.08601379394531,20.050111770629883,213.8020782470703
2022-01-19,59.27890396118164,97.79000091552734,38.608882904052734,32.72770309448242,106.46607971191406,44.138389587402344,358.2311096191406,50.24631881713867,20.5324764251709,207.91226196289062
2022-01-20,58.60206985473633,97.9000015258789,38.66745376586914,32.6062126159668,104.99847412109375,42.79218673706055,353.5782165527344,49.48383331298828,20.141122817993164,201.51844787597656
2022-01-21,57.72784423828125,91.23999786376953,37.14458084106445,30.036218643188477,102.289794921875,41.97919464111328,343.7739562988281,48.518680572509766,18.885143280029297,196.7848358154297
2022-01-24,56.411781311035156,92.87999725341797,36.89076614379883,29.952110290527344,103.11717224121094,42.71318817138672,345.34771728515625,48.692405700683594,18.903350830078125,199.9076385498047
2022-01-25,56.65619659423828,89.48999786376953,36.53933334350586,29.559600830078125,99.95539093017578,41.08721160888672,337.342041015625,47.457000732421875,18.93975257873535,191.81411743164062
2022-01-26,56.70319366455078,87.27999877929688,36.10980224609375,29.400728225708008,98.84236145019531,41.67967987060547,336.81427001953125,47.640384674072266,18.175247192382812,194.1858367919922
2022-01-27,56.81599807739258,83.9800033569336,35.387413024902344,28.073678970336914,97.3156509399414,39.65214538574219,333.4223327636719,46.08647918701172,17.501752853393555,185.2918243408203
2022-01-28,57.3048210144043,87.2699966430664,35.88527297973633,29.017566680908203,99.99479675292969,40.59349060058594,343.8815002441406,46.81998825073242,18.175247192382812,189.5609588623047
