Date,ARKK,DIA,EFA,IWM,QQQ,SPY,VOO,VTI,XLF,XLK
2021-01-22,143.68560791015625,284.936279296875,65.50164794921875,202.86105346679688,316.2035827636719,358.4655456542969,328.4773254394531,187.74557495117188,27.925138473510742,127.93771362304688
2021-01-25,144.26593017578125,284.6421203613281,65.42320251464844,202.6629180908203,318.81744384765625,359.8792724609375,329.8121643066406,188.2781982421875,27.72264862060547,129.00685119628906
2021-01-26,139.50527954101562,284.4030456542969,65.51908874511719,201.2570037841797,319.2837829589844,359.3175354003906,329.3174743652344,187.5960235595703,27.501750946044922,129.0935516357422
2021-01-27,136.0823211669922,278.7681884765625,64.01990509033203,197.56781005859375,310.38330078125,350.53558349609375,321.3271484375,183.09141540527344,26.69179344177246,126.65670013427734
2021-01-28,138.06919860839844,281.3513488769531,64.4295654296875,196.93563842773438,312.2197265625,353.5502624511719,324.02490234375,184.53062438964844,27.188810348510742,127.17684936523438
2021-01-29,135.18722534179688,275.5968933105469,63.09600830078125,193.95401000976562,305.6511535644531,346.47235107421875,317.5374450683594,181.2970428466797,26.645771026611328,124.18138122558594
2021-02-01,140.2823028564453,277.6283264160156,63.8455924987793,198.71893310546875,313.28851318359375,352.2395935058594,322.75537109375,184.39047241210938,26.995525360107422,127.29241943359375
2021-02-02,144.48233032226562,282.0406494140625,64.49057006835938,201.54954528808594,318.3995666503906,357.2203063964844,327.39453125,187.0352783203125,27.64901351928711,129.0165252685547
2021-02-03,143.71511840820312,282.4451904296875,64.6474609375,202.15341186523438,317.13641357421875,357.501220703125,327.7212829589844,187.31565856933594,27.80548095703125,128.5734100341797
2021-02-04,145.9184112548828,285.57977294921875,64.71720886230469,206.27664184570312,320.8870849609375,361.56451416015625,331.3896484375,189.68948364257812,28.422155380249023,130.62496948242188
2021-02-05,147.0102081298828,286.379638671875,65.11813354492188,209.13555908203125,321.9753112792969,362.9875183105469,332.71514892578125,190.75486755371094,28.43136215209961,130.33602905273438
2021-02-08,150.79710388183594,288.53985595703125,65.5713882446289,214.47601318359375,324.13250732421875,365.6089782714844,335.170166015625,192.4651336669922,28.79952049255371,131.70375061035156
