Date,BNB-USD,BTC-USD,ETH-USD,LINK-USD,SOL-USD,STETH-USD,TRX-USD,USDC-USD,USDT-USD,XRP-USD
2022-04-07,436.7967834472656,43503.84765625,3233.274658203125,15.775300025939941,118.79651641845703,3229.681640625,0.06442999839782715,1.0000369548797607,1.0002620220184326,0.7879999876022339
2022-04-08,421.67724609375,42287.6640625,3192.073974609375,15.135031700134277,109.8008804321289,3190.042724609375,0.06251899898052216,0.9997410178184509,1.0002880096435547,0.7540559768676758
2022-04-09,427.1530456542969,42782.13671875,3261.916259765625,15.433225631713867,112.97279357910156,3254.50048828125,0.06396599858999252,1.0000840425491333,1.000372052192688,0.7635849714279175
2022-04-10,418.5906677246094,42207.671875,3211.866943359375,15.34876823425293,111.74243927001953,3203.265625,0.06253500282764435,0.9996259808540344,1.0002919435501099,0.7566140294075012
2022-04-11,394.0868835449219,39521.90234375,2981.05224609375,13.75277042388916,99.33910369873047,2977.5908203125,0.05822699889540672,0.9997320175170898,1.0003479719161987,0.6950230002403259
2022-04-12,413.8739318847656,40127.18359375,3030.37646484375,13.973590850830078,103.30638885498047,3016.851806640625,0.05995599925518036,0.9998649954795837,1.0004349946975708,0.7166140079498291
2022-04-13,423.1301574707031,41166.73046875,3118.34423828125,14.183897972106934,105.00194549560547,3103.36474609375,0.061514999717473984,0.9997450113296509,1.0002750158309937,0.7238500118255615
2022-04-14,414.6637268066406,39935.515625,3019.909423828125,13.646020889282227,100.70780181884766,3019.63330078125,0.06013200059533119,0.9998390078544617,1.0001269578933716,0.7268189787864685
2022-04-15,417.2937316894531,40553.46484375,3040.91650390625,14.120528221130371,101.30977630615234,3033.466796875,0.06188900023698807,0.9997529983520508,1.0002390146255493,0.7856749892234802
2022-04-16,417.47845458984375,40424.484375,3062.310302734375,14.150530815124512,102.25731658935547,3057.580078125,0.06196000054478645,1.0002260208129883,1.0002959966659546,0.781840980052948
