Date,AAPL,F,GM,GOOGL,MCD,MSFT,SBUX,TGT,TSLA,WMT
2024-10-25,230.3380126953125,10.285760879516602,51.52312088012695,164.54437255859375,285.9363708496094,424.9596252441406,94.89120483398438,145.54537963867188,269.19000244140625,81.7132568359375
2024-10-28,232.3187713623047,10.564509391784668,52.17619323730469,165.9879913330078,290.0210266113281,423.4112243652344,95.58354949951172,143.7544708251953,262.510009765625,81.95094299316406
2024-10-29,232.5875244140625,9.672517776489258,50.99869155883789,168.9349822998047,288.2718505859375,428.7313232421875,94.9692153930664,142.4353485107422,259.5199890136719,80.91107177734375
2024-10-30,229.03407287597656,9.72826862335205,51.42417526245117,173.69400024414062,284.8712158203125,429.3069763183594,94.90094757080078,143.00343322753906,257.54998779296875,80.60406494140625
2024-10-31,224.8634796142578,9.561019897460938,50.22687911987305,170.3587188720703,285.44775390625,403.322021484375,95.27149963378906,144.46697998046875,249.85000610351562,81.15866088867188
2024-11-01,221.87738037109375,9.495980262756348,50.424781799316406,170.53790283203125,288.4770202636719,407.3121032714844,96.41242980957031,145.2372589111328,248.97999572753906,81.39634704589844
2024-11-04,220.98155212402344,9.626060485839844,51.25595474243164,168.49691772460938,286.1708984375,405.41632080078125,94.6181640625,144.41885375976562,242.83999633789062,81.6538314819336
2024-11-05,222.41485595703125,9.849058151245117,53.13600540161133,168.9947509765625,290.5389404296875,408.39398193359375,94.67666625976562,145.3817138671875,251.44000244140625,82.87195587158203
2024-11-06,221.68826293945312,10.397260665893555,54.471824645996094,175.73500061035156,287.2946472167969,417.0489807128906,93.6917724609375,141.81912231445312,288.5299987792969,82.63428497314453
2024-11-07,226.42620849609375,10.321918487548828,54.808250427246094,179.95639038085938,287.9396057128906,422.2598571777344,93.73078155517578,145.30467224121094,296.9100036621094,83.04032135009766
2024-11-08,226.15716552734375,10.331336975097656,54.99625778198242,177.5669403076172,292.1513366699219,419.39141845703125,95.12523651123047,144.21664428710938,321.2200012207031,84.01085662841797
2024-11-11,223.4368133544922,10.576199531555176,57.05441665649414,179.5581512451172,294.6529235839844,414.89520263671875,97.81663513183594,147.58663940429688,350.0,83.39683532714844
2024-11-12,223.4368133544922,10.453768730163574,56.807037353515625,180.82257080078125,291.838623046875,419.87774658203125,96.34416961669922,149.8686065673828,328.489990234375,84.16930389404297
2024-11-13,224.3236541748047,10.453768730163574,57.10388946533203,178.0946044921875,290.5682678222656,422.0316162109375,97.3193130493164,149.23313903808594,330.239990234375,84.67438507080078
