Date,AAPL,ARKK,BNB-USD,BTC-USD,DIA,EFA,ETH-USD,F,GM,GOOGL,IWM,LINK-USD,MCD,MSFT,QQQ,SBUX,SOL-USD,SPY,STETH-USD,TGT,TRX-USD,TSLA,USDC-USD,USDT-USD,VOO,VTI,WMT,XLF,XLK,XRP-USD,^GSPC
2024-08-26,226.12759399414062,45.72999954223633,548.8280029296875,62880.66015625,405.1439208984375,79.9569320678711,2681.340576171875,10.322928428649902,48.117774963378906,165.21121215820312,217.34033203125,11.854799270629883,280.4639892578125,410.4088439941406,472.12493896484375,93.2529525756836,157.23687744140625,552.3598022460938,2681.51513671875,152.99789428710938,0.16160699725151062,213.2100067138672,0.9999189972877502,1.000201940536499,508.8096008300781,273.36346435546875,75.29582977294922,43.7657585144043,219.36012268066406,0.5874699950218201,5616.83984375
2024-08-27,226.97366333007812,45.41999816894531,533.9758911132812,59504.1328125,405.3108215332031,80.32544708251953,2458.7265625,10.35080337524414,48.61129379272461,163.73965454101562,215.6544647216797,11.170317649841309,281.39666748046875,410.7562255859375,473.53533935546875,96.14913940429688,146.8970947265625,553.1182250976562,2458.487548828125,152.7860565185547,0.1579589992761612,209.2100067138672,1.0000269412994385,1.0003269910812378,509.4908142089844,273.6102600097656,75.39485931396484,43.991615295410156,220.6892852783203,0.5675539970397949,5625.7998046875
2024-08-28,225.4407958984375,44.27000045776367,536.816162109375,59027.625,403.789306640625,80.0442123413086,2528.41552734375,10.257887840270996,48.413883209228516,161.92013549804688,214.19534301757812,11.181870460510254,278.88037109375,407.5404052734375,468.16192626953125,92.93116760253906,143.89138793945312,549.9072875976562,2529.869384765625,151.03367614746094,0.15822100639343262,205.75,0.9999189972877502,1.0001499652862549,506.5784606933594,271.9418029785156,75.34534454345703,44.09962463378906,217.64414978027344,0.5698500275611877,5592.18017578125
2024-08-29,228.72549438476562,44.68000030517578,536.6256713867188,59388.1796875,406.3121337890625,80.34484100341797,2528.792724609375,10.322928428649902,48.82843780517578,160.85623168945312,215.72348022460938,10.937602996826172,279.6673278808594,410.0415954589844,467.4765625,92.5020980834961,140.0540313720703,549.9564208984375,2527.11474609375,147.721435546875,0.16000400483608246,206.27999877929688,0.9999629855155945,1.0001590251922607,506.657470703125,272.2083435058594,75.68206024169922,44.49241256713867,215.68016052246094,0.5620549917221069,5591.9599609375
2024-08-30,227.93917846679688,44.81999969482422,535.3157958984375,59119.4765625,408.56982421875,80.47090911865234,2525.822021484375,10.397260665893555,49.1344108581543,162.44711303710938,216.97555541992188,11.119160652160645,280.4445495605469,414.0316467285156,473.0486145019531,92.21931457519531,138.09999084472656,555.2064208984375,2525.11669921875,147.91400146484375,0.15994800627231598,214.11000061035156,0.9999719858169556,0.9998930096626282,511.42578125,274.8345031738281,76.48423767089844,44.914649963378906,218.54678344726562,0.5670310258865356,5648.39990234375
2024-09-03,221.738037109375,42.97999954223633,518.6689453125,57431.0234375,402.71929931640625,79.20051574707031,2420.603759765625,10.20213794708252,47.78218460083008,156.4614715576172,210.34048461914062,10.314515113830566,279.008056640625,406.3890380859375,458.6864318847656,90.86385345458984,127.57758331298828,543.7808837890625,2422.89697265625,146.16160583496094,0.1503549963235855,210.60000610351562,0.9999979734420776,0.9997509717941284,501.0795593261719,268.9208068847656,76.42481231689453,44.58079147338867,208.5086669921875,0.5573909878730774,5528.93017578125
2024-09-04,219.82691955566406,42.869998931884766,507.82049560546875,57971.5390625,402.8861999511719,78.85140228271484,2448.97705078125,10.174263000488281,47.82166290283203,155.55667114257812,209.9855499267578,10.335187911987305,281.4607849121094,405.8530578613281,457.4945373535156,90.03499603271484,133.60391235351562,542.667724609375,2447.94384765625,146.8163604736328,0.14998400211334229,219.41000366210938,1.0000150203704834,1.0000189542770386,499.83563232421875,268.31854248046875,76.494140625,44.6298828125,207.97303771972656,0.5581759810447693,5520.06982421875
2024-09-05,221.34983825683594,43.599998474121094,502.0693664550781,56160.48828125,400.96209716796875,78.87080383300781,2367.737548828125,10.0070161819458,47.52555847167969,156.34214782714844,208.9405059814453,10.016019821166992,281.4021911621094,405.3468322753906,457.9216613769531,89.28412628173828,129.32894897460938,541.347900390625,2367.51806640625,146.25790405273438,0.1498039960861206,230.1699981689453,1.0000419616699219,0.999754011631012,498.6015930175781,267.4892272949219,76.21685028076172,44.138912200927734,207.65562438964844,0.5441960096359253,5503.41015625
2024-09-06,219.7970733642578,41.59000015258789,486.9027404785156,53948.75390625,397.04541015625,77.38706970214844,2223.87646484375,9.830475807189941,46.6448974609375,150.0582275390625,204.9673614501953,9.575072288513184,282.9071044921875,398.7066955566406,445.65521240234375,88.88432312011719,124.99007415771484,532.2369384765625,2220.77685546875,145.6609344482422,0.14786000549793243,210.72999572753906,1.0000560283660889,0.9997419714927673,490.29901123046875,263.04656982421875,75.89994812011719,43.490814208984375,202.2695770263672,0.5213469862937927,5408.419921875
2024-09-09,219.8866424560547,42.63999938964844,518.5453491210938,57019.53515625,401.54132080078125,78.16287231445312,2358.482177734375,9.904808044433594,46.90217590332031,148.05706787109375,205.5391845703125,10.545119285583496,284.6464538574219,402.6967468261719,451.3861389160156,89.91797637939453,135.02561950683594,538.1959838867188,2358.85302734375,144.99655151367188,0.1545110046863556,216.27000427246094,0.9999120235443115,1.0001449584960938,495.817626953125,265.8602600097656,76.59317779541016,44.138912200927734,205.58253479003906,0.5396379828453064,5471.0498046875
2024-09-10,219.09034729003906,43.290000915527344,517.4838256835938,57648.7109375,400.7658386230469,77.77496337890625,2389.5810546875,9.588894844055176,44.34926986694336,148.00729370117188,205.37156677246094,10.597155570983887,284.6269226074219,411.11358642578125,455.5577697753906,91.01988220214844,135.63522338867188,540.540283203125,2382.64892578125,142.51239013671875,0.15308000147342682,226.1699981689453,0.9999070167541504,1.0000170469284058,497.8612060546875,266.8968505859375,78.04898071289062,43.68721008300781,208.65745544433594,0.5410779714584351,5495.52001953125
2024-09-11,221.6285400390625,44.22999954223633,530.1940307617188,57343.171875,401.75726318359375,78.2404556274414,2339.841552734375,9.709685325622559,44.20083999633789,150.49630737304688,205.97296142578125,10.406829833984375,283.61065673828125,419.8876953125,465.45037841796875,95.75907135009766,132.4973907470703,546.0855712890625,2341.5263671875,141.81912231445312,0.1533689945936203,228.1300048828125,0.9999560117721558,1.0001369714736938,502.955322265625,269.5526123046875,78.07868957519531,43.480987548828125,215.77932739257812,0.5353119969367981,5554.1298828125
2024-09-12,221.738037109375,44.97999954223633,544.3037719726562,58127.01171875,404.4076843261719,78.8804931640625,2361.78173828125,9.86764144897461,45.635616302490234,154.0108184814453,208.6250457763672,10.786038398742676,285.68231201171875,423.81817626953125,470.0192565917969,96.8122329711914,136.14190673828125,550.6853637695312,2360.172119140625,142.92642211914062,0.15197399258613586,229.80999755859375,1.000012993812561,0.9999719858169556,507.2794189453125,271.7936706542969,78.89077758789062,43.579193115234375,217.56478881835938,0.5625759959220886,5595.759765625
2024-09-13,221.46926879882812,45.7599983215332,557.01806640625,60571.30078125,407.3232116699219,79.06475067138672,2441.607177734375,9.932682991027832,45.813720703125,156.76866149902344,213.77137756347656,11.458701133728027,289.7669677734375,427.38140869140625,472.12493896484375,96.11988067626953,139.1005401611328,553.5615234375,2442.921142578125,145.7379608154297,0.14907099306583405,230.2899932861328,1.0001709461212158,1.0007779598236084,509.9745178222656,273.68927001953125,79.82170104980469,43.70684051513672,218.6558837890625,0.5731490254402161,5626.02001953125
2024-09-16,215.3179168701172,45.689998626708984,533.80908203125,58192.5078125,409.7184143066406,79.70480346679688,2295.28369140625,10.034890174865723,46.37773513793945,157.36599731445312,214.54037475585938,10.554821014404297,289.9233093261719,428.1258544921875,470.0391540527344,93.91605377197266,131.47259521484375,554.3790893554688,2291.129150390625,147.16297912597656,0.14886899292469025,226.77999877929688,0.9999420046806335,0.9999369978904724,510.7444763183594,274.23223876953125,79.7820816040039,44.27638244628906,217.8226776123047,0.585407018661499,5633.08984375
